Company Name,Website,Field,HQ Location,Company Overview,Date: Company Founded,Company LinkedIn URL,Last Funding Round Type ,Last Funding Date,Last Funding Amount $USD,Total Raised $USD,Founders Name,Investors
Speechify,speechify.com,Audio,"Miami, Florida, United States",Speechify is a mobile and desktop app that allows people with dyslexia and low vision to read out using text to speech voice.,2017,https://www.linkedin.com/company/getspeechify/,Seed,2020-01-01,,,Cliff Weitzman; Tyler Weitzman,Streamlined Ventures; Adjacent; G9 Ventures
Vocal Clarity ,https://www.vocalclarity.ai,Audio,"New York, New York, United States",Speech enhancement by voice synthesis.,,https://www.linkedin.com/company/vocal-clarity-inc/,Pre-Seed,,,,Fred Wells ,Anter
Voicemod,voicemod.net,Audio,"Valencia, Comunidad Valenciana, Spain",Voicemod is the best free voice changer software for Windows.,2014,https://www.linkedin.com/company/voicemod,Series A,2020-07-01,"$7,988,496.00","$8,547,522.00",Fernando Bosch; Jaime Bosch; Juan Bosch,Demium; BITKRAFT Ventures; Wayra; ABACON CAPITAL; Pinama Investment
WellSaid Labs,wellsaidlabs.com,Audio,"Seattle, Washington, United States","WellSaid Labs is a developer of art text-to-speech technology that creates life-like synthetic voices, from the voices of real people.",2018,https://www.linkedin.com/company/wellsaidlabs,Series A,2021-07-07,"$10,000,000.00","$10,000,000.00",,Qualcomm Ventures; FUSE; Voyager Capital; Good Friends
Air,air.inc,Search,"Brooklyn, New York, United States",Air is a developer of workplace collaboration and cloud storage replacement tool used to offer media management services.,2017,https://www.linkedin.com/company/airhq/,Series A,2022-01-28,"$10,000,000.00","$28,000,000.00",,Tiger Global Management; Jack Altman; Lerer Hippeau; Red Sea Ventures; Headline
Consensus,consensus.app,Search,"Boston, Massachusetts, United States",Consensus is search engine that uses AI to find answers straight from scientific research.,2021,https://www.linkedin.com/company/consensus-nlp/,Pre-Seed,2021-12-15,"$1,000,000.00","$1,000,000.00",Christian Salem; Eric Olson,Winklevoss Capital; Sam Parr; Joe Speiser; Permit Ventures; Bettor Capital
Glean,glean.com,Search,"Palo Alto, California, United States",Glean provides a work assistant that allows and helps employees find any piece of data through at their workplace.,2019,https://www.linkedin.com/company/gleanwork,Series C,2022-05-18,"$100,000,000.00","$155,000,000.00",Arvind Jain; Piyush Prahladka; Tony Gentilcore; TR Vishwanath,Sequoia Capital; Lightspeed Venture Partners; General Catalyst; Slack Fund; Kleiner Perkins
Hebbia,hebbia.ai,Search,"New York, New York, United States",Hebbia's neural search lets you execute research 10X faster and 10X more accurately.,2021,http://linkedin.com/company/hebbia,Series A,2022-06-17,"$30,000,000.00","$31,100,000.00",George Sivulka,Index Ventures; Radical Ventures; Naval Ravikant; Ram Shriram; Jerry Yang
Looria,looria.com,Search,"Zurich, Zurich, Switzerland","Looria gathers, analyzes and summarizes the most trusted product reviews.",2021,https://www.linkedin.com/company/heylooria,,,,,,
Pinecone,pinecone.io,Search,"San Mateo, California, United States",Similarity Search as a Service,2019,https://www.linkedin.com/company/pinecone-io/,Series A,2022-03-29,"$28,000,000.00","$38,000,000.00",Edo Liberty,Tiger Global Management; Menlo Ventures; Wing Venture Capital
Qdrant,qdrant.tech,Search,"Berlin, Berlin, Germany",Qdrant is an open-source vector similarity search engine.,2021,https://www.linkedin.com/company/qdrant/,Pre-Seed,2022-01-12,"$2,288,072.00","$2,288,073.00",Andre Zayarni,42CAP; IBB Ventures; Mücke Roth & Company
Vectara,vectara.com,Search,"Cupertino, California, United States",SaaS,2020,https://www.linkedin.com/company/vectara,Seed,2022-10-13,,,Amr Awadallah,Page One Ventures
AIXcoder,aixcoder.com,Code,"Haidian, Beijing, China",AIXcoder is an AI virtual programming robot developer company.,2017,,Series A,2022-03-21,"$1,573,316.00","$2,050,395.00",Ge Li; Yiyang Hao,Hillhouse Capital Group; PreAngel
Anima App,animaapp.com,Code,"New York, New York, United States",Anima is the design-to-code platform.,2017,https://linkedin.com/company/anima-app,Series A,2021-09-01,"$10,000,000.00","$12,620,000.00",Avishay Cohen; Michal Cohen; Or Arbel,Y Combinator; Hetz Ventures; MizMaa Ventures; Binder & Partners Ventures; Ariel Maislos
Bloop,bloop.ai,Code,"London, England, United Kingdom",Bloop.ai is an extension for a code editor that surfaces code examples from each library’s official documentation.,2021,https://www.linkedin.com/company/bloopai/about/,Pre-Seed,2021-08-31,"$125,000.00","$125,000.00",Gabriel Gordon-Hall; Louis Knight-Webb,Y Combinator; Matilde Giglio
Codacy,codacy.com,Code,"Lisbon, Lisboa, Portugal",Codacy is an automated code review tool that helps developers save time in code reviews and manage technical debt.,2012,https://www.linkedin.com/company/codacy,Series B,2022-09-21,"$15,000,000.00","$29,400,000.00",Jaime Jorge; Joao Caxaria,Seedcamp; EQT Ventures; Faber; Bright Pixel; Join Capital
Codiga,codiga.io,Code,"Denver, Colorado, United States","Help developers write better code, faster",2019,https://www.linkedin.com/company/codigahq/,Seed,2022-02-22,"$2,100,000.00","$2,220,000.00",Jessica Mercedes; Julien Delange,Techstars; LAUNCH; Olivier Pomel; Service Provider Capital; 2.12 Angels
Codis,https://codis.io,Code,"Melbourne, australia",Speed up your Flutter development,,https://www.linkedin.com/company/codis-io/,Pre-Seed,,,,,Antler
Codota,codota.com,Code,"Herzliya, Tel Aviv, Israel",Codota platform helps developers create software faster by providing insights learned from all the code in the world.,,,,,,,,
Debuild,debuild.app,Code,"San Francisco, California, United States","Describe what your app should do in plain English, then start using it within seconds 💫",,,,,,,,
DhiWise,dhiwise.com,Code,"Surat, Gujarat, India",DhiWise is a next-generation graphical programming platform for building entrepreneurship applications.,2021,https://www.linkedin.com/company/dhiwise,Series A,2022-08-23,"$7,000,000.00","$9,500,000.00",Rahul Shingala; Vishal Virani,Accel; India Quotient; Dholakia Ventures; Together Fund
Durable,durable.co,Code,"San Francisco, California, United States","Durable is an online platform that assists service businesses with the setup, templates, marketing, and invoicing of their company.",2021,https://www.linkedin.com/company/durableco/,Seed,2022-12-01,"$6,250,000.00","$12,500,000.00",,Soma Capital; Torch Capital; Lorimer Ventures; Infinity Ventures; Dash Fund
Enzyme,enzyme.so,Code,"New York, New York, United States",Enzyme provides no-code access to Web3 and allows creators and businesses to develop and implement smart contracts.,2020,https://www.linkedin.com/company/enzymehq,Pre-Seed,2021-01-25,"$120,000.00","$120,000.00",Teddy Pejoski,Techstars; Techstars Berlin Accelerator
Kodezi,https://kodezi.com,Code,"San Francisco, California, United States",Grammarly for Programmers!,2019,https://www.linkedin.com/company/kodezi/,Pre seed,2022-05-22,"$820,000","$820,000",Ishraq Khan,Watertower Ventures
Locofy.ai,locofy.ai,Code,"Singapore, Central Region, Singapore",Locofy provides a service that converts designs into code.,2021,https://www.linkedin.com/company/locofy/,Pre-Seed,2022-03-22,"$3,000,000.00","$3,000,000.00",,Accel; Golden Gate Ventures; January Capital; BoldCap
MarsX,https://www.marsx.dev,Code,"Seattle, Washington, United States",Lowcode platform powered by conversational AI and microapps. Users can use natural language in combination to using code,2021,https://www.linkedin.com/company/marsx/,Seed,Feb 2022,1M,1M,John Rush,"Dem Holding AS, KAM holding AS"
"Maya :: Automate your work, in minutes",mayalabs.io,Code,"Bengaluru, Karnataka, India",Maya Labs helps to build machines which can program themselves.,2020,,Grant,2022-08-05,"$500,000.00","$500,000.00",Shubham Mishra; Sibesh Kar,Y Combinator
Metabob,https://metabob.com,Code,"Berkeley, California, United States",Detect and resolve hidden errors before merging code with Metabob's AI,,https://www.linkedin.com/company/metabob/,Pre-Seed,,,,Massimiliano Genta ,Antler 
Mintlify,mintlify.com,Code,"New York, New York, United States",The backend for world-class documentation,2020,https://www.linkedin.com/company/mintsearch,Seed,2022-05-30,"$2,800,000.00","$2,800,000.00",Hahnbee Lee; Han Wang,Y Combinator; Bain Capital Ventures; TwentyTwo VC; Quinn Slack
MutableAI,mutable.ai,Code,"Chicago, U.S.A",MutableAI provides artificial intelligence-based services for software development.,,https://www.linkedin.com/company/mutableai,,,,,Omar Shams,
Replit,replit.com,Code,"San Francisco, California, United States",Repl.it is a browser-based integrated development environment for cross-platform collaborative coding.,2016,https://www.linkedin.com/company/repl-it,Series B,2021-12-09,"$80,000,000.00","$104,620,000.00",Amjad Masad; Faris Masad; Haya Odeh,Coatue; Andreessen Horowitz; Y Combinator; Reach Capital; SV Angel
Tabnine,tabnine.com,Code,"Tel Aviv, Tel Aviv, Israel",Tabnine is an AI code-completion tool that helps developers worldwide write better code faster.,2013,https://il.linkedin.com/company/tabnine,Venture - Series Unknown,2022-06-15,"$15,500,000.00","$32,050,000.00",Dror Weiss; Eran Yahav,OurCrowd; Qualcomm Ventures; Hetz Ventures; Samsung NEXT; Khosla Ventures
The.com,the.com,Code,"San Francisco, California, United States","Build more web, automatically.",2019,https://www.linkedin.com/company/the-com/,Seed,2022-01-27,"$4,400,000.00","$5,338,500.00",Clarke McKinnon; Jeff McKinnon,Village Global; NFX; Darius Contractor; LDR Ventures; Jay Parikh
Theneo,https://www.theneo.io/,Code,"San Francisco, California, United States","Automatically generating high-quality, stripe-like API docs",2021,https://www.linkedin.com/company/theneoinc/,Pre seed,February 2022,"1,500,000","1,500,000",Ana Robakidze,"Merus Capital, Diaspora Ventures, Y Combinator, Cartooli"
Topline,https://toplinepro.com,Code,"New York, NY","Topline Pro uses generative AI to automate the creation of a website and ongoing online presence to help home service businesses be discovered, trusted, and booked, repeatedly.",2021,https://www.linkedin.com/company/toplinepro/,Seed,06/2022,"5,000,000","5,000,000","Nick Ornitz, Shannon Kay","Bonfire Ventures, TMV, BBG Ventures"
Warp,warp.dev,Code,"New York, New York, United States",Warp is a developer of a Rust-based coding terminal designed to make teams productive at coding and application development.,2020,https://www.linkedin.com/company/warpdotdev,Series A,2022-04-05,"$17,000,000.00","$23,000,000.00",Zach Lloyd,BoxGroup; Elad Gil; GV; Contrary; Neo
Autoenhance.ai,autoenhance.ai,Image,"London, England, United Kingdom",Autoenhance.ai offers automated photo editing software using artificial intelligence.,2021,https://www.linkedin.com/company/autoenhance-ai,,,,,,
Beautiful.AI,beautiful.ai,Image,"San Francisco, California, United States",Creating software that understands the rules of great design and allows anyone to build stunningly beautiful visual documents with ease.,2015,https://www.linkedin.com/company/beautiful-ai/,Series B,2018-05-15,"$11,000,000.00","$16,000,000.00",Mitch Grasso,Shasta Ventures; Trinity Ventures; First Round Capital
Blend,blendnow.com,Image,"Bengaluru, Karnataka, India",Blend is AI-driven graphic design and marketing app to help sellers to stand out and sell more products online.,2021,https://www.linkedin.com/company/blenditstudios/,,,,,Vishwanath Kollapudi,
Botika,botika.io,Image,"Tel Aviv, Tel Aviv, Israel",Botika leverages synthetic media to power the fashion industry’s visual content creation and optimization.,2020,https://www.linkedin.com/company/botika-io,Seed,2022-01-01,,,Eran Dagan; Yarin Didi Meir,Operator Partners; Matias Ventures; Homeward Ventures
Bria,bria.ai,Image,"Tel Aviv-yafo, Tel Aviv, Israel",Bria is a Computer Software company.,,https://www.linkedin.com/company/briaai/,,,,,Gal Jacobi; Yair Adato,
Bubbles,https://designwithbubbles.com,Image,"Salt Lake City, Utah, United States",Advanced Image Recognition meets instant editable 3D scenes for average people...think Figma in 3D!,2019,https://www.linkedin.com/company/boominteractive/?viewAsMember=true,Safe Note $5.5M,08-01-2022,"$5,500,000","$7,500,000",Timber Barker,"Sam Malouf, Tamarack Capital"
ClipDrop,clipdrop.co,Image,"Paris, Ile-de-France, France",ClipDrop is an app that turns regular mobile photos into professional product visuals.,2020,,Seed,2021-03-22,,,Cyril Diagne; Damien Henry; Jonathan Blanchet,Y Combinator
Common Sense Machines,csm.ai,Image,"Cambridge, Massachusetts, United States",Common Sense Machines is building artificial intelligence that learns to translate the world into a 3D simulation.,2020,https://www.linkedin.com/company/common-sense-machines/,Seed,2020-06-08,"$5,079,994.00","$5,079,994.00",Josh Tenenbaum; Max Kleiman-Weiner; Tejas Kulkarni; Vikash Mansinghka,Intel Capital; Toyota Ventures; Glasswing Ventures; Omidyar Technology Ventures; Blindspot Ventures
Facet,facet.ai,Image,"San Francisco, California, United States","Facet is a computer software company that provides artists and engineers, aiming to redefine and humanize the creative process.",2017,https://www.linkedin.com/company/facetai/,Series A,2021-11-16,"$13,000,000.00","$15,500,000.00",Joseph Reisinger; Matt Stanton,Accel; Bossanova Investimentos; Gaingels; Edward Lando; Two Sigma Ventures
Hexo,hexo.ai,Image,"Bengaluru, Karnataka, India",,,,,,,,,
Hypar,hypar.io,Image,"Culver City, California, United States",Hypar delivers expertise for multiple organizations to help them quickly create building designs.,2018,https://www.linkedin.com/company/hypar-aec/,Series B,2020-09-09,"$1,480,000.00","$2,480,000.00",Anthony Hauck; Ian Keough,Building Ventures
Kaedim,kaedim.com,Image,"London, England, United Kingdom",AI for turning 2D images into 3D models,2020,https://www.linkedin.com/company/kaedim/,Seed,2021-07-15,,"$203,561.00",Konstantina Psoma; Roman Bromidge,Matt Robinson; Tom Blomfield; Chris Kingsley
Let's Enhance,letsenhance.io,Image,"San Francisco, California, United States",Let's Enhance is a deep-tech company that builds next-gen AI photo management solution for marketplaces,2018,https://www.linkedin.com/company/18297525/,Seed,2021-10-27,"$3,000,000.00","$3,000,000.00",Sofiia Shvets; Vlad Pranskevičius,Techstars; Synetro Group; Techstars London Accelerator; Acrobator Ventures | Acrobator.vc; Digital Future
Maket Technologies,maket.ca,Image,"Montréal, Quebec, Canada",Maket automates the creation of floor plans using generative AI,2019,https://www.linkedin.com/company/maket-technologies,Angel,2021-09-13,,,Jessen Gibbs; Patrick Murphy; Stéphane Turbide,Pareto Holdings; Techstars; Edward Lando; Nadav Ben-Chanoch; Front Row Ventures
Midjourney ,https://midjourney.com,Image,"San Francisco, California, United States",An independent research lab exploring new mediums of thought and expanding the imaginative powers of the human species.,2021,https://www.linkedin.com/company/midjourney/about/,,,,,David Holz,
Modulize,https://www.modulize.io,Image,"Oslo, Norway",Unlock the potential of offsite construction with the ultimate takeoff and cost estimation software,,https://www.modulize.io,Seed,,,,,Antler 
Pencil,trypencil.com,Image,"Singapore, Central Region, Singapore",Pencil is a creative AI platform that generates ads predicted to win.,2018,https://www.linkedin.com/company/trypencil/,Seed,2020-05-01,"$2,750,000.00","$3,850,000.00",James Chadwick; Sumukh Avadhani; Will Hanschell,Wavemaker Partners
PhotoRoom,photoroom.com,Image,"Paris, Ile-de-France, France",PhotoRoom is an AI-enabled image capturing app that lets users create studio-quality product pictures in seconds.,2019-01-01,https://www.linkedin.com/company/photoroom/,Series A,2022-11-23,"$19,000,000.00","$19,125,000.00",Eliot Andres; Matthieu Rouif,Y Combinator; FJ Labs; Adjacent; Meta; Hugging Face
Poly,withpoly.com,Image,"Santa Monica, California, United States",Generate Design Assets with AI in Seconds,2022,https://www.linkedin.com/company/withpoly/,Pre-Seed,2022-02-20,,,Abhay Agarwal; Sam Young,Y Combinator
Recast : AI,https://recastai.com,Image,"Singapore, Central Region, Singapore",Create it. Own it.,,https://www.linkedin.com/company/recast-ai/,Pre-Seed,,,,,Antler
Rosebud AI,rosebud.ai,Image,"San Francisco, California, United States",Rosebud AI uses deep learning to create photos and videos of virtual models for brand advertising and entertainment.,2019,https://www.linkedin.com/company/rosebud-ai/,Venture - Series Unknown,2020-08-18,,"$1,500,000.00",Lisha Li,Y Combinator; Amplify Partners; Lux Capital; Kevin Lin; Foothill Ventures
Scenario,https://www.scenario.gg,Image,"San Francisco, California, United States",Generative AI for game assets,2021,,Seed,2022,,"5,000,000",Emmanuel de Maistre,"Play Ventures, Anorak Ventures, Angels"
Sloyd ,https://www.sloyd.ai,Image,"Oslo, Norway",Instant Automagic 3D creation,,https://www.linkedin.com/company/sloyd/,Pre-Seed,,,,,Antler 
Soul Machines,soulmachines.com,Image,"Auckland, Auckland, New Zealand",Soul Machines designs intelligent and emotionally responsive avatars that changes the way people interact with machines.,2016,https://www.linkedin.com/company/soul-machines-os,Series B,2022-02-14,"$70,000,000.00","$135,000,000.00",Greg Cross; Mark Sagar,Temasek Holdings; Lakestar; Horizons Ventures; Salesforce Ventures; SoftBank Vision Fund
stability.ai,stability.ai,Image,"London, England, United Kingdom",Stability AI is an AI-driven visual art startup that designs and implements an open AI tool to create images based on text input given.,20219,https://www.linkedin.com/company/stability-ai,Seed,2022-10-12,"$98,797,885.00","$98,797,885.00",Emad Mostaque,Coatue; Lightspeed Venture Partners; O'Shaughnessy Asset Management
Uizard Technologies,uizard.io,Image,"Copenhagen, Hovedstaden, Denmark",Uizard is a design tool for non-designers — powered by AI,2018,https://www.linkedin.com/company-beta/18083715/,Series A,2021-08-18,"$15,000,000.00","$18,600,000.00",Florian Van Schreven; Henrik Haugbølle; Ioannis Sintos; Tony Beltramelli,Insight Partners; 7percent Ventures; ByFounders; AV8 Ventures; LDV Capital
Alive,https://www.aive.com,Video,"Paris, Ile-de-France, France",Generative AI video platform for video post-production automation.,2019,https://www.linkedin.com/company/aive/,Seed,2022,"$3,600,000","$4,000,000","Olivier Reynaud, Rudy Lellouche","+70 business angels : Renaud Visage, Pareto, Scout Sequoia etc…"
AudioLabs,https://www.audiolabs.io/?utm_source=antler,Video,"Tel Aviv, Tel Aviv, Israel",We make audio discoverable on video with AI. Ideal for podcasters looking to grow on short-form video,2021,https://www.linkedin.com/company/audio-labs-io/,Pre-Seed,,,,"Tomer Dean (CEO), Peleg Aran (CTO), Ran Alter (CPO)",10 Angel Investors & Tech CEOs
Basch,basch.io,Video,,,,,,,,,,
Colossyan Synthetic Media Generation,colossyan.com,Video,"Wilmington, Delaware, United States",With Colossyan you can create AI videos with real actors much cheaper and faster than with traditional studio recordings or video software.,2020,https://www.linkedin.com/company/colossyan/about/,Convertible Note,2022-11-04,,"$1,179,350.00",Dominik Mate Kovacs; Kristof Szabo; Zoltan Kovacs,APX; Day One Capital; Oktogon Ventures; Mikal Hallstrup; Akos Kapui
Deepdub,deepdub.ai,Video,"Tel Aviv-yafo, Tel Aviv, Israel",Deepdub provides an AI-based dubbing service for entertainment content.,2019,https://www.linkedin.com/company/deepdub-ai,Series A,2022-02-10,"$20,000,000.00","$20,000,000.00",Nir Krakowski; Ofir Krakowski,Insight Partners; Swift Ventures; Stardom Ventures; Matias Ventures; Danny Grander
Fathom Video,fathom.video,Video,"San Francisco, California, United States",Fathom Video is an audiovisual recording service that integrates with both Zoom and Google Calendar.,2020,https://www.linkedin.com/company/fathom-video/,Seed,2022-01-24,"$4,700,000.00","$4,700,000.00",Richard White,Zoom; Soma Capital; Pario Ventures; Global Founders Capital; Liquid 2 Ventures
GlossAI,https://glossai.co/,Video,"Tel Aviv, Tel Aviv, Israel","An AI video generator that storifies existing content, turning it into shareworthy short-form videos that maximize engagement",2021,https://il.linkedin.com/company/glossai,Seed,June 2022,7.3M,7.3M,"Ofer Familier, Adi Paz, Eyal Koren","New Era Capital Partners, Guidestar Capital, 97212 Ventures, MindCET Ventures, Ginossar Ventures, Maccabee Ventures, Rafi Gidron"
Incentivai,incentivai.co,Video,"San Francisco, California, United States",Incentivai is a tool for testing incentive structures of smart contract economies via simulation using AI agents.,2018,https://www.linkedin.com/company/incentivai/,Seed,2018-08-20,"$120,000.00","$120,000.00",Piotr Grudzień,Y Combinator
InVideo,invideo.io,Video,"Singapore, Central Region, Singapore",InVideo is re-inventing video creation and making it accessible to the world.,2017,https://www.linkedin.com/company/invideoio,Series B,2021-07-06,"$35,000,000.00","$52,500,000.00",Harsh Vakharia; Pankit Chheda; Sanket Shah,Tiger Global Management; Lightspeed Venture Partners; Surge; Sequoia Capital India; Hummingbird Ventures
Lumen5,lumen5.com,Video,"Vancouver, British Columbia, Canada",Lumen5 is an A.I. driven video creation platform that can transform articles and blog posts into social videos through a simple interface.,2016,https://www.linkedin.com/company/lumen5/?originalSubdomain=ca,Grant,2019-09-12,"$105,000.00","$105,000.00",Chris Bowal; Michael Cheng; Nigel Gutzmann,Creative Destruction Lab (CDL); NEXT Canada; New Ventures BC
Maverick,trymaverick.com,Video,"San Francisco, California, United States",Enabling e-commerce businesses to send customers personalized videos at scale using AI.,2021,https://www.linkedin.com/company/trymaverick,,,,,Debarshi Chaudhuri; Eitan Winer,
Metaphysic.ai,metaphysic.ai,Video,"London, England, United Kingdom",Metaphysic develops artificial intelligence-assisted tools to assist content creators in creating content.,2021,https://www.linkedin.com/company/metaphysic-ai,Seed,2022-01-25,"$7,500,000.00","$7,500,000.00",Chris Ume; Kevin Ume; Thomas Graham,8VC; Section 32; Winklevoss Capital; Logan Paul
Peech,peech-ai.com,Video,"Tel Aviv, Tel Aviv, Israel",The first generative AI video expert that turns content teams into #unstoppablecreators.,,https://www.linkedin.com/company/peechai/?originalSubdomain=il,,,,,Danielle Dafni ,
Pictory.AI,pictory.ai,Video,"Bothell, Washington, United States","Pictory is an AI that converts long-form content such as webinars, blogs, white papers into dozens of short social videos in minutes.",2019,https://www.linkedin.com/company/pictory,Seed,2022-01-04,"$2,100,000.00","$2,100,000.00",Abid Ali Mohammed; Vikram Chalana; Vishal Chalana,FUSE; Voyager Capital; Bill Bryant; Bharat Shyam; Omri Bahat
Potion,sendpotion.com,Video,"San Francisco, California, United States","Potion is a software tool that provides screen recordings, dynamic videos, customized themes, calendar embeds and secured video services.",2020,https://www.linkedin.com/company/sendpotion/,Seed,2021-10-01,,,Andrew Boos,Streamlined Ventures; Unshackled Ventures
Recut,getrecut.io,Video,"New York, New York, United States",Recut creates individualized video campaigns at scale.,,https://www.linkedin.com/company/recutrijswijk/about/,,,,,,
Rephrase.ai,rephrase.ai,Video,"San Francisco, California, United States",Rephrase builds generative AI tools to create professional videos with the ease of writing text.,2019,https://www.linkedin.com/company/rephrase-ai,Series A,2022-09-15,"$10,600,000.00","$12,200,000.00",Ashray Malhotra; Nisheeth Lahoti; Shivam Mangla,Techstars; 8VC; Silver Lake; Red Ventures; Lightspeed India Partners
Respeecher,respeecher.com,Video,"Kyiv, Kyyiv, Ukraine",We build high fidelity voice cloning (voice conversion) systems using deep neural networks.,2018,https://www.linkedin.com/company/respeecher/,Venture - Series Unknown,2021-12-30,,"$1,500,000.00",Alex Serdiuk; Dmytro Bielievtsov; Grant Reaber,Techstars; TechNexus Venture Collaborative; Chris Adelsbach; Ff Venture Capital; NETWORK VC
Runway,runwayml.com,Video,"New York, New York, United States",Runway is a next generation video editing solution powered by machine learning.,2018,https://www.linkedin.com/company/runwayml,Series C,2022-12-05,"$50,000,000.00","$95,500,000.00",Alejandro Matamala; Anastasis Germanidis; Cristóbal Valenzuela Barrera,Coatue; Madrona; Amplify Partners; Compound; Guillermo Rauch
Steve.AI,steve.ai,Video,"California, Kentucky, United States",Steve.AI is a patented online video-making software that helps anyone to create live-action videos and animations quickly.,,https://www.linkedin.com/showcase/steve.ai/,,,,,,
Synthesia,synthesia.io,Video,"London, England, United Kingdom",Synthesia is an AI video avatar platform that creates professional videos from a text in different languages.,2017,https://www.linkedin.com/company/synthesia-technologies/,Series B,2021-12-08,"$50,000,000.00","$66,600,000.00",Lourdes Agapito; Matthias Niessner; Steffen Tjerrild; Victor Riperbelli,Seedcamp; GV; Kleiner Perkins; MMC Ventures; FirstMark
Tavus.io,tavus.io,Video,"Houston, Texas, United States","Record One Video, We'll Handle The Next Thousand",2021,https://www.linkedin.com/company/tavus-io/,Seed,2022-05-01,,,Hassaan Raza; Quinn Favret,Sequoia Capital; Y Combinator; Soma Capital; SV Angel; Liquid 2 Ventures
Terra,welcometerra.com,Video,"New York, New York, United States",Terra is a machine learning video editing platform for content and communications teams,2021,https://www.linkedin.com/company/terra-digital-video,Pre-Seed,2022-05-01,"$200,000.00","$200,000.00",Eran Ganot; Karam Sethi,Antler
VEED,veed.io,Video,"Benfleet, Essex, United Kingdom",VEED.IO is an online video editing platform that makes creating videos.,2018,https://www.linkedin.com/company/veedhq,Series A,2022-02-03,"$35,000,000.00","$35,000,000.00",Sabba Keynejad; Timur Mamedov,Sequoia Capital
VOCHI,vochi.com,Video,"Nicosia, Nicosia, Cyprus",VOCHI is a video and photo editing application that enables the addition of effects to individual objects in real-time.,2019,https://www.linkedin.com/company/vochi-video-effects,Seed,2021-07-23,"$2,400,000.00","$4,400,000.00",Andrei Avsievich; Anna Buglakova; Ilya Lesun; Sergey Malyutin; Vasil Kasnitski; Yury Melnichek,Startup Wise Guys; Flyer One Ventures; JOINT JOURNEY; Angelsdeck Global Ventures; TA Ventures
Windsor.io,windsor.io,Video,"San Francisco, California, United States",Windsor brings AI and augmented media tech to video personalization,2018,https://www.linkedin.com/company/windsorio/,Seed,2021-10-20,"$2,600,000.00","$3,100,000.00",Andrew Faust; Pranay Prakash,Y Combinator; Precursor Ventures; Shrug Capital; Packy McCormick; Polymath Capital
WOMBO,wombo.ai,Video,"Toronto, Ontario, Canada",WOMBO is an AI-powered lip sync app that creates deepfake copies of images lip-syncing to a selection of songs.,2020,https://www.linkedin.com/company/wombo-ai,Seed,2022-06-24,,"$6,000,000.00",Akshat Jagga; Angad Arneja; Ben Zion Benkhin; Parshant Loungani; Paul Pavel; Vivek Bhakta,500 Global; 468 Capital; Global Founders Capital; FJ Labs; Flucas Ventures
Xembly,xembly.com,Video,"Seattle, Washington, United States",Xembly applies Intelligent Automation to improve meeting productivity.,,https://www.linkedin.com/company/xembly/,Series A,2022-10-04,"$15,000,000.00","$15,000,000.00",,Norwest Venture Partners; Lightspeed Venture Partners; Ascend; Seven Peaks Ventures; FLEX Capital Management GmbH
Yepic AI,yepic.ai,Video,"London, England, United Kingdom",Yepic AI build video production and dubbing tools help companies communicate better.,2019,https://www.linkedin.com/company/yepic-ai,,,,,Aaron Jones; Yannis Kazantzidis,
Zubtitle,zubtitle.com,Video,"Charleston, South Carolina, United States",Zubtitle is the first video caption tool that makes it easy to automatically add captions to any video. Powered by Google.,2018,,,,,,Baird Hall; Jay McAliley,
Bifrost,bifrost.ai,Data,"Singapore, Central Region, Singapore",Bifrost develops synthetic data tools to help AI teams build robust computer vision models - no data collection or labelling required.,2019,https://www.linkedin.com/company/bifrost-ai/,Seed,2021-03-18,"$1,600,000.00","$1,600,000.00",Aravind Kandiah; Charles Wong,Techstars; Wavemaker Partners; Lux Capital; Hustle Fund; Sequoia Capital India
Databar,https://databar.ai,Data,"New York, New York, United States",A no-code data enrichment platform.,2021,https://www.linkedin.com/company/databar-nocode/,Pre-seed,April 2022,"$250,000","$350,000",David Abaev,
Datagen,datagen.tech,Data,"Tel Aviv, Tel Aviv, Israel","Datagen Technologies develops simulated data technology to be scalable, bias-free, and automatically annotated.",2018,https://www.linkedin.com/company/datagen-tech/,Series B,2022-03-23,"$50,000,000.00","$72,000,000.00",Gil Elbaz; Ofir Chakon,Operator Partners; Viola Ventures; Spider Capital; TLV Partners; Scale Venture Partners
Gretel.ai,gretel.ai,Data,"San Diego, California, United States",Gretel helps developers to build quickly with the data and safely share it with others.,2019,https://www.linkedin.com/company/gretelai,Series B,2021-10-07,"$52,199,996.00","$67,699,996.00",Alexander Watson; Ali Golshan; John Myers; Laszlo Bock,Village Global; Greylock; Section 32; Village Capital; Anthos Capital
HiGeorge,dataherald.com,Data,"San Francisco, California, United States",Dataherald is a software development company that offers data visualizations.,2019,https://www.linkedin.com/company/dataherald,Pre-Seed,2021-08-08,"$2,000,000.00","$2,000,000.00",Amir Zohrenejad; Anuj Saigal,
Pilot AI,getpilot.ai,Data,,,,,,,,,,
Syntegra,syntegra.io,Data,"San Francisco, California, United States",Syntegra applies state-of-the-art machine learning models to create synthetic healthcare datasets.,2019,https://www.linkedin.com/company/syntegra-io,Seed,2021-08-20,,"$5,625,000.00",Michael Lesh; Ofer Mendelvitch,Village Global; Hike Ventures; Launchpad Capital; Impact Venture Capital; GRIDS Capital
Charisma ,https://charisma.ai,Gaming,"Oxford, U.K",Power Real-time Digital Humans,,,,,,,,
